# time(fs)   RMSD(Ang)   MSD(Ang^2)
6.700000000000000000e+03 3.341648762354860747e+00 1.116661645094777278e+01
6.800000000000000000e+03 3.260877384879879326e+00 1.063332131922104118e+01
6.900000000000000000e+03 3.194253395869433909e+00 1.020325475702341045e+01
7.000000000000000000e+03 3.134519087239894919e+00 9.825209908271224535e+00
7.100000000000000000e+03 3.143213826492504026e+00 9.879793159053649632e+00
7.200000000000000000e+03 3.123621982711025868e+00 9.757014290875559936e+00
7.300000000000000000e+03 3.155807350295454228e+00 9.959120032178816473e+00
7.400000000000000000e+03 3.170288692309449541e+00 1.005073039258515877e+01
7.500000000000000000e+03 3.129441634206041822e+00 9.793404941902181804e+00
7.600000000000000000e+03 3.141508875172236426e+00 9.869078012785930554e+00
7.700000000000000000e+03 3.156834734313120894e+00 9.965605539765792997e+00
7.800000000000000000e+03 3.137980563490482044e+00 9.846922016844041892e+00
7.900000000000000000e+03 3.100703310693982306e+00 9.614361020948622993e+00
8.000000000000000000e+03 3.076253808510521104e+00 9.463337494375485548e+00
8.100000000000000000e+03 3.078940774077639553e+00 9.479876290277815087e+00
8.200000000000000000e+03 3.065003073941301892e+00 9.394243843269629579e+00
8.300000000000000000e+03 3.032080411052294977e+00 9.193511619087054498e+00
8.400000000000000000e+03 3.095621856522914772e+00 9.582874678582376404e+00
8.500000000000000000e+03 3.121208918740520755e+00 9.741945114425369923e+00
8.600000000000000000e+03 3.135907245536181609e+00 9.833914252606321682e+00
8.700000000000000000e+03 3.116618821277784779e+00 9.713312877142929125e+00
8.800000000000000000e+03 3.198328599937009908e+00 1.022930583317503483e+01
8.900000000000000000e+03 3.150098535701398639e+00 9.923120784628096658e+00
9.000000000000000000e+03 3.072872207894428165e+00 9.442543606049978777e+00
9.100000000000000000e+03 3.044817158557898917e+00 9.270911529048596833e+00
9.200000000000000000e+03 3.056700166236394178e+00 9.343415906269600057e+00
9.300000000000000000e+03 3.115406645142560382e+00 9.705758564598422566e+00
9.400000000000000000e+03 3.072360004764188801e+00 9.439395998874605453e+00
9.500000000000000000e+03 3.074506724523415002e+00 9.452591599139697820e+00
9.600000000000000000e+03 3.073027288525145728e+00 9.443496716020208126e+00
9.700000000000000000e+03 3.083268989889082601e+00 9.506547664011645082e+00
9.800000000000000000e+03 3.100745339961052505e+00 9.614621663290183307e+00
9.900000000000000000e+03 3.160825447872123828e+00 9.990817511916013416e+00
1.000000000000000000e+04 3.149792951545010489e+00 9.921195637602627571e+00
1.010000000000000000e+04 3.228896015014316667e+00 1.042576947577533453e+01
1.020000000000000000e+04 3.207786793669897829e+00 1.028989611364300316e+01
1.030000000000000000e+04 3.246675674157962543e+00 1.054090293316905935e+01
1.040000000000000000e+04 3.215442222168421349e+00 1.033906868410339541e+01
1.050000000000000000e+04 3.211690161446937086e+00 1.031495369313505250e+01
1.060000000000000000e+04 3.211727767904104969e+00 1.031519525512628555e+01
1.070000000000000000e+04 3.181988281597781576e+00 1.012504942422560283e+01
1.080000000000000000e+04 3.209297333206424963e+00 1.029958937292587073e+01
1.090000000000000000e+04 3.150288842982668758e+00 9.924319794221080571e+00
1.100000000000000000e+04 3.168182157661181719e+00 1.003737818412266058e+01
1.110000000000000000e+04 3.213186221143368382e+00 1.032456569174559924e+01
1.120000000000000000e+04 3.244516540697877538e+00 1.052688758286212156e+01
1.130000000000000000e+04 3.235140599443301568e+00 1.046613469816636588e+01
1.140000000000000000e+04 3.270850776798475135e+00 1.069846480408318712e+01
1.150000000000000000e+04 3.261918890382170755e+00 1.064011484743205216e+01
1.160000000000000000e+04 3.300137979273316091e+00 1.089091068224216663e+01
1.170000000000000000e+04 3.232637726453340576e+00 1.044994667048942283e+01
1.180000000000000000e+04 3.241930584274679727e+00 1.051011391325556765e+01
1.190000000000000000e+04 3.294729844194465684e+00 1.085524474622568825e+01
1.200000000000000000e+04 3.344003683677494898e+00 1.118236063644865474e+01
1.210000000000000000e+04 3.341860477464023482e+00 1.116803145083606985e+01
1.220000000000000000e+04 3.378665256221153879e+00 1.141537891359595669e+01
1.230000000000000000e+04 3.381570365313697479e+00 1.143501813556781244e+01
1.240000000000000000e+04 3.363655790795005540e+00 1.131418027894877376e+01
1.250000000000000000e+04 3.418243482082174545e+00 1.168438850279726893e+01
1.260000000000000000e+04 3.403285039008133062e+00 1.158234905673659121e+01
1.270000000000000000e+04 3.465919038436474864e+00 1.201259478099641775e+01
1.280000000000000000e+04 3.534749187668796644e+00 1.249445181972521901e+01
1.290000000000000000e+04 3.594095470120107993e+00 1.291752224833787999e+01
1.300000000000000000e+04 3.656123498335414723e+00 1.336723903508038980e+01
1.310000000000000000e+04 3.755369736157541549e+00 1.410280185524796437e+01
1.320000000000000000e+04 3.734700458088548558e+00 1.394798751164681327e+01
1.330000000000000000e+04 3.691586834010270213e+00 1.362781335303797192e+01
1.340000000000000000e+04 3.604784717611847711e+00 1.299447286032792981e+01
1.350000000000000000e+04 3.670056934618268762e+00 1.346931790333964507e+01
1.360000000000000000e+04 3.723836650956235950e+00 1.386695940300495700e+01
1.370000000000000000e+04 3.748987066431209048e+00 1.405490402426848107e+01
1.380000000000000000e+04 3.758571283338383751e+00 1.412685809193594366e+01
1.390000000000000000e+04 3.794503765483137947e+00 1.439825882626571207e+01
1.400000000000000000e+04 3.799770664186686631e+00 1.443825710041373256e+01
1.410000000000000000e+04 3.837980792062634983e+00 1.473009656024173175e+01
1.420000000000000000e+04 3.854305512201910311e+00 1.485567098139003051e+01
1.430000000000000000e+04 3.865294878789316879e+00 1.494050449999491903e+01
1.440000000000000000e+04 3.827532231314316302e+00 1.465000298174994775e+01
1.450000000000000000e+04 3.776439416911869351e+00 1.426149466960565881e+01
1.460000000000000000e+04 3.786480783969335739e+00 1.433743672736903640e+01
1.470000000000000000e+04 3.780768875366585569e+00 1.429421328894071763e+01
1.480000000000000000e+04 3.818766639203015067e+00 1.458297864468988969e+01
1.490000000000000000e+04 3.803317919076032894e+00 1.446522719356484465e+01
1.500000000000000000e+04 3.732545602164739407e+00 1.393189667223933625e+01
1.510000000000000000e+04 3.710619545443093248e+00 1.376869741102430744e+01
1.520000000000000000e+04 3.729559911873041145e+00 1.390961713625044638e+01
1.530000000000000000e+04 3.762334433557602331e+00 1.415516038993320436e+01
1.540000000000000000e+04 3.788299316153885599e+00 1.435121170877199681e+01
1.550000000000000000e+04 3.795797639584556737e+00 1.440807972067569231e+01
1.560000000000000000e+04 3.805338106378685303e+00 1.448059810385771939e+01
1.570000000000000000e+04 3.810424235372937840e+00 1.451933285351743841e+01
1.580000000000000000e+04 3.814846239090582181e+00 1.455305182790356078e+01
1.590000000000000000e+04 3.815500874484300642e+00 1.455804692319046367e+01
1.600000000000000000e+04 3.803720983397643973e+00 1.446829331953953890e+01
1.610000000000000000e+04 3.837499474335680727e+00 1.472640221552662432e+01
1.620000000000000000e+04 3.847924651590024059e+00 1.480652412431420828e+01
1.630000000000000000e+04 3.848604401375928852e+00 1.481175583829017128e+01
1.640000000000000000e+04 3.856560674053383764e+00 1.487306023265509047e+01
1.650000000000000000e+04 3.882012731762026103e+00 1.507002284956246818e+01
1.660000000000000000e+04 3.885790233118496584e+00 1.509936573579909869e+01
1.670000000000000000e+04 3.888947837613936365e+00 1.512391528368211269e+01
1.680000000000000000e+04 3.893440977622351085e+00 1.515888264622888926e+01
1.690000000000000000e+04 3.890888847160578479e+00 1.513901602095857513e+01
1.700000000000000000e+04 3.878451265090522959e+00 1.504238421568227757e+01
1.710000000000000000e+04 3.853050900532552170e+00 1.484600124209471161e+01
1.720000000000000000e+04 3.877450894877370491e+00 1.503462544218531960e+01
1.730000000000000000e+04 3.915836117856009047e+00 1.533377250190562080e+01
1.740000000000000000e+04 3.887530407304472746e+00 1.511289266771687956e+01
1.750000000000000000e+04 3.864680790400346844e+00 1.493575761168944815e+01
1.760000000000000000e+04 3.800945254044323818e+00 1.444718482424207018e+01
1.770000000000000000e+04 3.740253427440693113e+00 1.398949570148185195e+01
1.780000000000000000e+04 3.758667128693596649e+00 1.412757858432176583e+01
1.790000000000000000e+04 3.829253552155408080e+00 1.466318276669480980e+01
1.800000000000000000e+04 3.877788870742188809e+00 1.503724652605198031e+01
1.810000000000000000e+04 3.917668787489048121e+00 1.534812872846590892e+01
1.820000000000000000e+04 3.919329729304930510e+00 1.536114552701346092e+01
1.830000000000000000e+04 3.947906076504707595e+00 1.558596238890279295e+01
1.840000000000000000e+04 3.972504832052849544e+00 1.578079464068324000e+01
1.850000000000000000e+04 3.993050482705397197e+00 1.594445215743380473e+01
1.860000000000000000e+04 3.946959052308919969e+00 1.557848576060332668e+01
1.870000000000000000e+04 3.941241170650409575e+00 1.553338196522980930e+01
1.880000000000000000e+04 3.961487982957104581e+00 1.569338703911354749e+01
1.890000000000000000e+04 3.904932593683795528e+00 1.524849856121405622e+01
1.900000000000000000e+04 3.933545370317749867e+00 1.547277918034820487e+01
1.910000000000000000e+04 3.896251768106011593e+00 1.518077784046922218e+01
1.920000000000000000e+04 3.882478572999727096e+00 1.507363986980199577e+01
1.930000000000000000e+04 3.879677375316131105e+00 1.505189653653986248e+01
1.940000000000000000e+04 3.890646431753375989e+00 1.513712965691527756e+01
1.950000000000000000e+04 3.892902695421617931e+00 1.515469139602089754e+01
1.960000000000000000e+04 3.874856379041680121e+00 1.501451195819999995e+01
1.970000000000000000e+04 3.906048024543415931e+00 1.525721117003952365e+01
1.980000000000000000e+04 3.931424796267604993e+00 1.545610092870777841e+01
1.990000000000000000e+04 3.956531788584316089e+00 1.565414379407820711e+01
2.000000000000000000e+04 4.023986296844854316e+00 1.619246571719516226e+01
2.010000000000000000e+04 3.979929102280212128e+00 1.583983565917697689e+01
2.020000000000000000e+04 3.991089113039101299e+00 1.592879230821924175e+01
2.030000000000000000e+04 4.092477212988150370e+00 1.674836973882726099e+01
2.040000000000000000e+04 4.140381728844054976e+00 1.714276086054568538e+01
2.050000000000000000e+04 4.118085749570745691e+00 1.695863024081764792e+01
2.060000000000000000e+04 4.083439888945643581e+00 1.667448132663241012e+01
2.070000000000000000e+04 4.043108465981162247e+00 1.634672606768855019e+01
2.080000000000000000e+04 3.964147050630434155e+00 1.571446183902197014e+01
2.090000000000000000e+04 3.932736174056553846e+00 1.546641381473298082e+01
2.100000000000000000e+04 3.860956451747297624e+00 1.490698472228908322e+01
2.110000000000000000e+04 3.899886793862534784e+00 1.520911700494340124e+01
2.120000000000000000e+04 3.899244779387754711e+00 1.520410984958266098e+01
2.130000000000000000e+04 3.949117586399875091e+00 1.559552971121277487e+01
2.140000000000000000e+04 3.970073956363915801e+00 1.576148721899903649e+01
2.150000000000000000e+04 3.918329977292859922e+00 1.535330981095186331e+01
2.160000000000000000e+04 3.905647954975006275e+00 1.525408594820044961e+01
2.170000000000000000e+04 3.973775160651332961e+00 1.579088902740952705e+01
2.180000000000000000e+04 4.030301805732654508e+00 1.624333264529189691e+01
2.190000000000000000e+04 4.054232535755511790e+00 1.643680145397856762e+01
2.200000000000000000e+04 4.102668491120810224e+00 1.683188874803550661e+01
2.210000000000000000e+04 4.167426476277806380e+00 1.736744343518125433e+01
2.220000000000000000e+04 4.190255761606060503e+00 1.755824334767278572e+01
2.230000000000000000e+04 4.202681179925289889e+00 1.766252910009822941e+01
2.240000000000000000e+04 4.205661220020351365e+00 1.768758629758307066e+01
2.250000000000000000e+04 4.166395592125900826e+00 1.735885223008613565e+01
2.260000000000000000e+04 4.154802979072553804e+00 1.726238779491016828e+01
2.270000000000000000e+04 4.210722505352797462e+00 1.773018401708454306e+01
2.280000000000000000e+04 4.247537554548663330e+00 1.804157527730123789e+01
2.290000000000000000e+04 4.254391325653315015e+00 1.809984555179416787e+01
2.300000000000000000e+04 4.245916159482042040e+00 1.802780403335073345e+01
2.310000000000000000e+04 4.236961775450144074e+00 1.795184508662563516e+01
2.320000000000000000e+04 4.172809426718436576e+00 1.741233851171024938e+01
2.330000000000000000e+04 4.231359919157936744e+00 1.790440676545626175e+01
2.340000000000000000e+04 4.314500252352273080e+00 1.861491242754782860e+01
2.350000000000000000e+04 4.310659991970348770e+00 1.858178956637381063e+01
2.360000000000000000e+04 4.294200342510512414e+00 1.844015658161740490e+01
2.370000000000000000e+04 4.264286949180950970e+00 1.818414318495498350e+01
2.380000000000000000e+04 4.285314179622154995e+00 1.836391761807070111e+01
2.390000000000000000e+04 4.326849436061054099e+00 1.872162604234186389e+01
2.400000000000000000e+04 4.332865965098212868e+00 1.877372747150646859e+01
2.410000000000000000e+04 4.352714969185838001e+00 1.894612760297446741e+01
2.420000000000000000e+04 4.367964772192021172e+00 1.907911625111049503e+01
2.430000000000000000e+04 4.405457602989439003e+00 1.940805669173745329e+01
2.440000000000000000e+04 4.397060827883714218e+00 1.933414392410941218e+01
2.450000000000000000e+04 4.404157094376379256e+00 1.939659971194579313e+01
2.460000000000000000e+04 4.493509158092120259e+00 2.019162455385775345e+01
2.470000000000000000e+04 4.494489970684553803e+00 2.020044009658403894e+01
2.480000000000000000e+04 4.439945638167537290e+00 1.971311726988294311e+01
2.490000000000000000e+04 4.390040457619456049e+00 1.927245521953564378e+01
2.500000000000000000e+04 4.405082098577221217e+00 1.940474829520549704e+01
2.510000000000000000e+04 4.448987339239445227e+00 1.979348834471288043e+01
2.520000000000000000e+04 4.477724173886463710e+00 2.005001377740721580e+01
2.530000000000000000e+04 4.421551444596052427e+00 1.955011717720943665e+01
2.540000000000000000e+04 4.400955882001388986e+00 1.936841267532262734e+01
2.550000000000000000e+04 4.353461617242206039e+00 1.895262805280112062e+01
2.560000000000000000e+04 4.323325626484380457e+00 1.869114447261656053e+01
2.570000000000000000e+04 4.261721844188437913e+00 1.816227307723289996e+01
2.580000000000000000e+04 4.215648824263551475e+00 1.777169500951466574e+01
2.590000000000000000e+04 4.156142204811724916e+00 1.727351802661726410e+01
2.600000000000000000e+04 4.241734305161735996e+00 1.799230991558591697e+01
2.610000000000000000e+04 4.274922211977094655e+00 1.827495991845513856e+01
2.620000000000000000e+04 4.203639319691413689e+00 1.767058353005569060e+01
2.630000000000000000e+04 4.208028745383129987e+00 1.770750592197071782e+01
2.640000000000000000e+04 4.229221582432333371e+00 1.788631519331144659e+01
