# time(fs)   RMSD(Ang)   MSD(Ang^2)
8.800000000000000000e+03 4.199221670430734576e+00 1.763346263741508579e+01
8.900000000000000000e+03 4.222829036237327749e+00 1.783228506928907819e+01
9.000000000000000000e+03 4.204290261051871092e+00 1.767605659917561312e+01
9.100000000000000000e+03 4.178797654941421413e+00 1.746234984094392573e+01
9.200000000000000000e+03 4.173491561354079060e+00 1.741803181269370526e+01
9.300000000000000000e+03 4.179513859920493957e+00 1.746833610526750391e+01
9.400000000000000000e+03 4.211975031935095259e+00 1.774073366964464427e+01
9.500000000000000000e+03 4.241959176695739409e+00 1.799421765675319662e+01
9.600000000000000000e+03 4.238936271751828855e+00 1.796858071597329243e+01
9.700000000000000000e+03 4.227218171133019453e+00 1.786937346635718882e+01
9.800000000000000000e+03 4.231696617881291367e+00 1.790725626578795726e+01
9.900000000000000000e+03 4.285817150591512359e+00 1.836822864830434909e+01
1.000000000000000000e+04 4.296939118455162188e+00 1.846368578771022939e+01
1.010000000000000000e+04 4.278696848751730286e+00 1.830724672351798432e+01
1.020000000000000000e+04 4.228652611462338839e+00 1.788150290842725454e+01
1.030000000000000000e+04 4.248094804968374660e+00 1.804630947199929381e+01
1.040000000000000000e+04 4.244047540783836503e+00 1.801193952843333079e+01
1.050000000000000000e+04 4.266631713492563982e+00 1.820414617858049411e+01
1.060000000000000000e+04 4.304854922609687939e+00 1.853177590471685932e+01
1.070000000000000000e+04 4.337516327034386165e+00 1.881404788728987043e+01
1.080000000000000000e+04 4.331614223540584341e+00 1.876288178157909670e+01
1.090000000000000000e+04 4.437765019199097161e+00 1.969375836562716486e+01
1.100000000000000000e+04 4.376669407452254745e+00 1.915523510212846858e+01
1.110000000000000000e+04 4.390299075498326431e+00 1.927472597232145901e+01
1.120000000000000000e+04 4.379053410669216717e+00 1.917610877349370213e+01
1.130000000000000000e+04 4.341999125423579464e+00 1.885295640517913185e+01
1.140000000000000000e+04 4.323598955586041015e+00 1.869350792874470457e+01
1.150000000000000000e+04 4.284265653858062350e+00 1.835493219282784949e+01
1.160000000000000000e+04 4.325824183117516597e+00 1.871275486324432791e+01
1.170000000000000000e+04 4.319172179376577603e+00 1.865524831510061787e+01
1.180000000000000000e+04 4.394308971991804924e+00 1.930995134132767177e+01
1.190000000000000000e+04 4.320546685764328210e+00 1.866712366386912336e+01
1.200000000000000000e+04 4.305564167723450630e+00 1.853788280238413222e+01
1.210000000000000000e+04 4.235068672484231911e+00 1.793580666065735585e+01
1.220000000000000000e+04 4.233158142971120697e+00 1.791962786340270952e+01
1.230000000000000000e+04 4.226857749236517137e+00 1.786632643228079687e+01
1.240000000000000000e+04 4.261639424717392544e+00 1.816157058630559007e+01
1.250000000000000000e+04 4.263847224610507247e+00 1.818039315481872720e+01
1.260000000000000000e+04 4.296451116266628567e+00 1.845949219446875844e+01
1.270000000000000000e+04 4.261691970058624435e+00 1.816201844766215956e+01
1.280000000000000000e+04 4.257415512568517357e+00 1.812558684665905062e+01
1.290000000000000000e+04 4.266018660791374373e+00 1.819891521422022862e+01
1.300000000000000000e+04 4.290643951944605128e+00 1.840962552235881944e+01
1.310000000000000000e+04 4.290480742982951234e+00 1.840822500590753918e+01
1.320000000000000000e+04 4.316185044884744748e+00 1.862945334168672318e+01
1.330000000000000000e+04 4.349206569420470458e+00 1.891559778349018117e+01
1.340000000000000000e+04 4.349173626850407537e+00 1.891531123649113155e+01
1.350000000000000000e+04 4.382078398092398075e+00 1.920261108702803909e+01
1.360000000000000000e+04 4.357282726954657903e+00 1.898591276261741712e+01
1.370000000000000000e+04 4.306987457305567091e+00 1.855014095738747670e+01
1.380000000000000000e+04 4.321776364851260155e+00 1.867775094778697564e+01
1.390000000000000000e+04 4.334612316056552395e+00 1.878886393050915160e+01
1.400000000000000000e+04 4.358545105166171219e+00 1.899691543376798819e+01
1.410000000000000000e+04 4.323496909095360330e+00 1.869262552295713675e+01
1.420000000000000000e+04 4.329984155494179809e+00 1.874876278683064612e+01
1.430000000000000000e+04 4.346545444630403487e+00 1.889245730223731456e+01
1.440000000000000000e+04 4.266456848583274564e+00 1.820265404082312699e+01
1.450000000000000000e+04 4.288797507844618551e+00 1.839378406329420912e+01
1.460000000000000000e+04 4.242980007442730184e+00 1.800287934355871045e+01
1.470000000000000000e+04 4.233799363346593125e+00 1.792505704907401665e+01
1.480000000000000000e+04 4.259960301915866943e+00 1.814726177389912465e+01
1.490000000000000000e+04 4.287572778982302601e+00 1.838328033507002246e+01
1.500000000000000000e+04 4.247813075861121668e+00 1.804391592745672668e+01
1.510000000000000000e+04 4.233606088289755931e+00 1.792342051080408893e+01
1.520000000000000000e+04 4.192816155341967388e+00 1.757970731249659835e+01
1.530000000000000000e+04 4.206012645580237574e+00 1.769054237478087188e+01
1.540000000000000000e+04 4.219559291526683964e+00 1.780468061470917007e+01
1.550000000000000000e+04 4.235321564560676322e+00 1.793794875523269283e+01
1.560000000000000000e+04 4.206651415884278933e+00 1.769591613476121239e+01
1.570000000000000000e+04 4.202214763821754850e+00 1.765860892128153026e+01
1.580000000000000000e+04 4.242254769789264301e+00 1.799672553179976475e+01
1.590000000000000000e+04 4.283230508215027932e+00 1.834606358650396984e+01
1.600000000000000000e+04 4.325689439173043382e+00 1.871158912417319797e+01
1.610000000000000000e+04 4.319115731423327276e+00 1.865476070142846510e+01
1.620000000000000000e+04 4.285868627761180605e+00 1.836866989442750153e+01
1.630000000000000000e+04 4.223069559804193851e+00 1.783431650694479131e+01
1.640000000000000000e+04 4.278816272736263748e+00 1.830826869583265548e+01
1.650000000000000000e+04 4.334660432259860308e+00 1.878928106299924039e+01
1.660000000000000000e+04 4.298647506084193992e+00 1.847837038156386313e+01
1.670000000000000000e+04 4.306842503465899696e+00 1.854889234966042011e+01
1.680000000000000000e+04 4.209169559133298044e+00 1.771710837753440515e+01
1.690000000000000000e+04 4.208173619687918254e+00 1.770872521343731520e+01
1.700000000000000000e+04 4.212958837613947516e+00 1.774902216742946592e+01
1.710000000000000000e+04 4.208794665547895164e+00 1.771395253674441861e+01
1.720000000000000000e+04 4.187985153817349371e+00 1.753921964859452487e+01
1.730000000000000000e+04 4.198025412305131709e+00 1.762341736235967105e+01
1.740000000000000000e+04 4.145645884997385622e+00 1.718637980379575936e+01
1.750000000000000000e+04 4.162022179183301418e+00 1.732242862001371719e+01
1.760000000000000000e+04 4.174852364545566630e+00 1.742939226575170508e+01
1.770000000000000000e+04 4.269187111496478337e+00 1.822595859296764331e+01
1.780000000000000000e+04 4.296946258520633499e+00 1.846374714861447330e+01
1.790000000000000000e+04 4.339761266065081280e+00 1.883352784643879474e+01
1.800000000000000000e+04 4.330861621679876983e+00 1.875636238613965290e+01
1.810000000000000000e+04 4.345313649626178609e+00 1.888175071362758217e+01
1.820000000000000000e+04 4.324081218389390635e+00 1.869767838322787412e+01
1.830000000000000000e+04 4.314981661211528596e+00 1.861906673659180100e+01
1.840000000000000000e+04 4.323547361474600059e+00 1.869306178691397946e+01
1.850000000000000000e+04 4.306677789165290982e+00 1.854747357968963684e+01
1.860000000000000000e+04 4.344776665043159625e+00 1.887708426910356252e+01
1.870000000000000000e+04 4.337933189518701660e+00 1.881766435672789584e+01
1.880000000000000000e+04 4.299993844608528626e+00 1.848994706367123442e+01
1.890000000000000000e+04 4.326732055358852413e+00 1.872061027886984164e+01
1.900000000000000000e+04 4.288289210409748087e+00 1.838942435211666293e+01
1.910000000000000000e+04 4.305500479867788499e+00 1.853733438214175777e+01
1.920000000000000000e+04 4.331644131286098265e+00 1.876314088010530057e+01
1.930000000000000000e+04 4.326966170005628776e+00 1.872263623637318375e+01
1.940000000000000000e+04 4.336617805051553809e+00 1.880625398709015883e+01
1.950000000000000000e+04 4.354211472228906921e+00 1.895915754488982330e+01
1.960000000000000000e+04 4.405189707486677264e+00 1.940569635894656031e+01
1.970000000000000000e+04 4.371324951579872220e+00 1.910848183230477204e+01
1.980000000000000000e+04 4.344172819625857329e+00 1.887183748677607298e+01
1.990000000000000000e+04 4.304679666781362712e+00 1.853026703360090721e+01
2.000000000000000000e+04 4.315965968861362079e+00 1.862756224436939334e+01
2.010000000000000000e+04 4.288984473981361845e+00 1.839538781805318024e+01
2.020000000000000000e+04 4.328750034868309449e+00 1.873807686437238829e+01
2.030000000000000000e+04 4.320696588631836477e+00 1.866841901101478740e+01
2.040000000000000000e+04 4.309316148030019278e+00 1.857020566367228298e+01
2.050000000000000000e+04 4.276354331996499170e+00 1.828720637278522432e+01
2.060000000000000000e+04 4.245286925406130507e+00 1.802246107902423589e+01
2.070000000000000000e+04 4.266546501637740185e+00 1.820341905063723686e+01
2.080000000000000000e+04 4.337355375692867554e+00 1.881265165505181969e+01
2.090000000000000000e+04 4.375254550786351615e+00 1.914285238417668111e+01
2.100000000000000000e+04 4.388390128250643230e+00 1.925796791772770078e+01
2.110000000000000000e+04 4.435853555004572790e+00 1.967679676144670964e+01
2.120000000000000000e+04 4.392077145345528955e+00 1.929034165066653017e+01
2.130000000000000000e+04 4.367303157856833984e+00 1.907333687262627464e+01
2.140000000000000000e+04 4.368865091319801941e+00 1.908698218615278464e+01
2.150000000000000000e+04 4.360060737243723672e+00 1.901012963245428011e+01
2.160000000000000000e+04 4.367257908715783010e+00 1.907294164124055769e+01
2.170000000000000000e+04 4.312715655132231873e+00 1.859951632202263383e+01
2.180000000000000000e+04 4.335972255146798737e+00 1.880065539740281366e+01
2.190000000000000000e+04 4.318218380200036677e+00 1.864700997909742952e+01
2.200000000000000000e+04 4.317822060545423390e+00 1.864358734653272620e+01
2.210000000000000000e+04 4.307392655216907507e+00 1.855363148621655967e+01
2.220000000000000000e+04 4.347111171000123342e+00 1.889737553303406159e+01
2.230000000000000000e+04 4.368499045650781731e+00 1.908378391185178913e+01
2.240000000000000000e+04 4.364737342130084130e+00 1.905093206578478870e+01
2.250000000000000000e+04 4.346907873686415513e+00 1.889560806231695267e+01
2.260000000000000000e+04 4.382012015073806666e+00 1.920202930025120125e+01
2.270000000000000000e+04 4.349462515301753207e+00 1.891782417201505595e+01
2.280000000000000000e+04 4.302281053965490543e+00 1.850962226731041227e+01
2.290000000000000000e+04 4.278465792667066836e+00 1.830526953902223042e+01
2.300000000000000000e+04 4.333555219971064076e+00 1.877970084453846056e+01
2.310000000000000000e+04 4.298175263811279123e+00 1.847431059843916046e+01
2.320000000000000000e+04 4.301762072619331967e+00 1.850515692942617108e+01
2.330000000000000000e+04 4.371897975107637890e+00 1.911349190475026560e+01
2.340000000000000000e+04 4.443960529464965781e+00 1.974878518744253597e+01
2.350000000000000000e+04 4.356904647580464918e+00 1.898261810810825878e+01
2.360000000000000000e+04 4.417942770354375881e+00 1.951821832212649710e+01
2.370000000000000000e+04 4.497111959129387770e+00 2.022401597294455655e+01
2.380000000000000000e+04 4.463409522052896428e+00 1.992202456155246182e+01
2.390000000000000000e+04 4.435791477655864234e+00 1.967624603324439647e+01
2.400000000000000000e+04 4.434972936353889672e+00 1.966898494619144344e+01
2.410000000000000000e+04 4.486253917157989157e+00 2.012647420921540231e+01
2.420000000000000000e+04 4.507207912022562546e+00 2.031492316219878447e+01
2.430000000000000000e+04 4.464024961816410730e+00 1.992751885972000636e+01
2.440000000000000000e+04 4.458355638725761239e+00 1.987693500135778990e+01
2.450000000000000000e+04 4.455076136400866638e+00 1.984770338112847554e+01
2.460000000000000000e+04 4.480463753868916044e+00 2.007455544973313621e+01
2.470000000000000000e+04 4.443897264171962291e+00 1.974822289451505242e+01
2.480000000000000000e+04 4.369325037549494972e+00 1.909100128375689209e+01
2.490000000000000000e+04 4.430107113723775747e+00 1.962584903906600076e+01
2.500000000000000000e+04 4.465957397461840728e+00 1.994477547594414091e+01
2.510000000000000000e+04 4.458130563718367689e+00 1.987492812315985447e+01
2.520000000000000000e+04 4.424303618744219513e+00 1.957446251083319311e+01
2.530000000000000000e+04 4.442725728837537247e+00 1.973781190167503041e+01
2.540000000000000000e+04 4.537136186032632246e+00 2.058560477060674287e+01
2.550000000000000000e+04 4.586831882557496520e+00 2.103902671884594966e+01
2.560000000000000000e+04 4.536344482981318649e+00 2.057842126827504359e+01
2.570000000000000000e+04 4.567429877197388244e+00 2.086141568311535011e+01
2.580000000000000000e+04 4.557646073283683208e+00 2.077213772931817815e+01
2.590000000000000000e+04 4.592297271048368046e+00 2.108919422567828761e+01
2.600000000000000000e+04 4.605272604719608864e+00 2.120853576378092953e+01
2.610000000000000000e+04 4.592040635668741544e+00 2.108683719963298131e+01
2.620000000000000000e+04 4.612848266247893569e+00 2.127836912742619901e+01
2.630000000000000000e+04 4.601564826640381689e+00 2.117439885377392628e+01
2.640000000000000000e+04 4.630399877875029269e+00 2.144060302902508752e+01
2.650000000000000000e+04 4.580721043465008080e+00 2.098300527804315507e+01
2.660000000000000000e+04 4.609128055168147498e+00 2.124406142893811023e+01
2.670000000000000000e+04 4.574749931603376396e+00 2.092833693670510087e+01
2.680000000000000000e+04 4.567784427833790240e+00 2.086465457916087018e+01
2.690000000000000000e+04 4.629660291552052165e+00 2.143375441517382995e+01
2.700000000000000000e+04 4.654883293418410339e+00 2.166793847534582440e+01
2.710000000000000000e+04 4.642937955039256437e+00 2.155687285434411393e+01
2.720000000000000000e+04 4.727977217057294013e+00 2.235376856501283171e+01
2.730000000000000000e+04 4.732875695493850010e+00 2.240011234899639447e+01
2.740000000000000000e+04 4.711988220284500706e+00 2.220283298809989248e+01
2.750000000000000000e+04 4.715310402559445890e+00 2.223415219248532182e+01
2.760000000000000000e+04 4.715386592237237551e+00 2.223487071425070383e+01
2.770000000000000000e+04 4.694963851608713767e+00 2.204268556791252820e+01
2.780000000000000000e+04 4.698999039230995933e+00 2.208059197069382051e+01
2.790000000000000000e+04 4.689207662645652697e+00 2.198866850341470425e+01
2.800000000000000000e+04 4.623722126477904482e+00 2.137880630288135109e+01
2.810000000000000000e+04 4.636880933738400046e+00 2.150066479366669725e+01
2.820000000000000000e+04 4.663188036716019447e+00 2.174532266577140760e+01
2.830000000000000000e+04 4.659957409621643620e+00 2.171520305948765994e+01
2.840000000000000000e+04 4.726512787423302164e+00 2.233992312967599503e+01
2.850000000000000000e+04 4.708524482159597291e+00 2.217020279909630176e+01
2.860000000000000000e+04 4.692696572582759629e+00 2.202140112232997993e+01
2.870000000000000000e+04 4.716751381157989975e+00 2.224774359165580861e+01
2.880000000000000000e+04 4.738806114256026270e+00 2.245628338851030037e+01
2.890000000000000000e+04 4.749738803710692459e+00 2.256001870347508032e+01
2.900000000000000000e+04 4.721512023613946063e+00 2.229267578913106362e+01
2.910000000000000000e+04 4.609861088621403091e+00 2.125081925638571079e+01
2.920000000000000000e+04 4.590995684604122218e+00 2.107724137605367432e+01
2.930000000000000000e+04 4.632073269659313652e+00 2.145610277549232592e+01
2.940000000000000000e+04 4.673925201216360570e+00 2.184557678656539537e+01
2.950000000000000000e+04 4.725265533416227015e+00 2.232813436129134033e+01
2.960000000000000000e+04 4.663541533725334531e+00 2.174861963678124965e+01
2.970000000000000000e+04 4.689755608608168203e+00 2.199380766847176716e+01
2.980000000000000000e+04 4.688132118167304796e+00 2.197858275739185885e+01
2.990000000000000000e+04 4.669251808094320388e+00 2.180191244739207690e+01
3.000000000000000000e+04 4.672207676412551969e+00 2.182952457152837411e+01
3.010000000000000000e+04 4.664656125713797508e+00 2.175901677115925636e+01
3.020000000000000000e+04 4.644173555334514703e+00 2.156834801206842300e+01
3.030000000000000000e+04 4.576226849018575571e+00 2.094185217367847684e+01
3.040000000000000000e+04 4.574550661562946985e+00 2.092651375520599899e+01
3.050000000000000000e+04 4.541229085994632264e+00 2.062276161148364650e+01
3.060000000000000000e+04 4.464244054712096954e+00 1.992947498003230322e+01
3.070000000000000000e+04 4.478399199155452592e+00 2.005605938699619628e+01
3.080000000000000000e+04 4.506980900533839929e+00 2.031287683777681963e+01
3.090000000000000000e+04 4.557027342494695432e+00 2.076649820024426418e+01
3.100000000000000000e+04 4.605703255378641892e+00 2.121250247660542243e+01
3.110000000000000000e+04 4.651312075831262938e+00 2.163470402677372917e+01
3.120000000000000000e+04 4.596511386971350532e+00 2.112791693055728715e+01
3.130000000000000000e+04 4.538146183357350871e+00 2.059477078152089291e+01
3.140000000000000000e+04 4.540938660919063175e+00 2.062012392222941770e+01
3.150000000000000000e+04 4.591142839576372481e+00 2.107859257339340076e+01
3.160000000000000000e+04 4.588659580253615644e+00 2.105579674345328556e+01
3.170000000000000000e+04 4.666184621864545967e+00 2.177327892532517239e+01
3.180000000000000000e+04 4.702449324407804276e+00 2.211302964862341724e+01
3.190000000000000000e+04 4.762930689419915709e+00 2.268550875221807672e+01
3.200000000000000000e+04 4.733278465022656256e+00 2.240392502744722947e+01
3.210000000000000000e+04 4.702413524639537989e+00 2.211269295671284496e+01
3.220000000000000000e+04 4.779081439098324502e+00 2.283961940153411518e+01
3.230000000000000000e+04 4.757188289192563424e+00 2.263084041883086428e+01
3.240000000000000000e+04 4.749984558777044619e+00 2.256235330862035227e+01
3.250000000000000000e+04 4.777669010511669256e+00 2.282612117400355345e+01
3.260000000000000000e+04 4.802503881832546284e+00 2.306404353501667259e+01
3.270000000000000000e+04 4.788795233192608691e+00 2.293255978544824814e+01
3.280000000000000000e+04 4.741500706299721202e+00 2.248182894784075714e+01
3.290000000000000000e+04 4.751384832559598870e+00 2.257565782707740354e+01
3.300000000000000000e+04 4.757824492722415144e+00 2.263689390354930708e+01
3.310000000000000000e+04 4.724557107201186490e+00 2.232143985920524543e+01
3.320000000000000000e+04 4.748170554118748221e+00 2.254512361100034212e+01
3.330000000000000000e+04 4.700160036842403244e+00 2.209150437193038385e+01
3.340000000000000000e+04 4.687674964049418413e+00 2.197429656857571345e+01
3.350000000000000000e+04 4.729871254073927389e+00 2.237168208011486925e+01
3.360000000000000000e+04 4.793615408735273142e+00 2.297874868686423611e+01
3.370000000000000000e+04 4.863492323262658346e+00 2.365355757843480689e+01
3.380000000000000000e+04 4.866345504164493185e+00 2.368131856590197515e+01
3.390000000000000000e+04 4.860338089108726223e+00 2.362288634044106317e+01
3.400000000000000000e+04 4.872829198599491818e+00 2.374446439872376402e+01
3.410000000000000000e+04 4.873813477457975551e+00 2.375405781305100206e+01
3.420000000000000000e+04 4.859039633951279136e+00 2.361026616430937963e+01
3.430000000000000000e+04 4.883553200606971956e+00 2.384909186315860197e+01
3.440000000000000000e+04 4.886904661594484445e+00 2.388183717151390439e+01
3.450000000000000000e+04 4.905976476620956817e+00 2.406860518915817693e+01
3.460000000000000000e+04 4.941743286712147132e+00 2.442082671176457254e+01
3.470000000000000000e+04 4.928879734167920468e+00 2.429385543389122759e+01
3.480000000000000000e+04 4.911099488336196472e+00 2.411889818433605370e+01
3.490000000000000000e+04 4.905183566306448029e+00 2.406082581916284724e+01
3.500000000000000000e+04 4.959358469524949520e+00 2.459523642924884612e+01
3.510000000000000000e+04 4.962314354920287940e+00 2.462456375704795164e+01
3.520000000000000000e+04 4.994576490181672490e+00 2.494579431627547095e+01
3.530000000000000000e+04 5.039004001529744592e+00 2.539156132743278249e+01
3.540000000000000000e+04 4.993864850715538317e+00 2.493868614721212396e+01
3.550000000000000000e+04 4.956937074319903935e+00 2.457122515876716662e+01
3.560000000000000000e+04 4.986022042412130872e+00 2.486041580741963486e+01
3.570000000000000000e+04 5.012191757192061559e+00 2.512206621086404823e+01
3.580000000000000000e+04 4.972816913346895795e+00 2.472890805366894540e+01
3.590000000000000000e+04 5.007511570115903865e+00 2.507517212484464153e+01
3.600000000000000000e+04 5.029008865330639289e+00 2.529093016757416379e+01
3.610000000000000000e+04 5.031189640465829171e+00 2.531286919833067728e+01
3.620000000000000000e+04 5.088522836031683205e+00 2.589306465281592651e+01
3.630000000000000000e+04 5.064510727288279668e+00 2.564926890681806171e+01
3.640000000000000000e+04 5.010346790189905697e+00 2.510357495796628768e+01
3.650000000000000000e+04 4.995680659150857572e+00 2.495682524821394566e+01
3.660000000000000000e+04 4.997087723332194642e+00 2.497088571467734042e+01
3.670000000000000000e+04 5.001799256064859200e+00 2.501799579797097550e+01
3.680000000000000000e+04 4.956365281758351671e+00 2.456555680621954352e+01
3.690000000000000000e+04 4.911528181493300949e+00 2.412310907760289425e+01
3.700000000000000000e+04 4.977140989542628624e+00 2.477193242978537313e+01
3.710000000000000000e+04 5.053597473693422160e+00 2.553884742612054026e+01
3.720000000000000000e+04 5.037489801058037564e+00 2.537630349576375011e+01
3.730000000000000000e+04 5.023621143677740264e+00 2.523676939520604989e+01
3.740000000000000000e+04 4.966148366410865655e+00 2.466262959720530645e+01
3.750000000000000000e+04 4.922150470375462383e+00 2.422756525301738151e+01
3.760000000000000000e+04 4.980834495658329253e+00 2.480871227313996741e+01
3.770000000000000000e+04 4.967903301014433559e+00 2.468006320823010213e+01
3.780000000000000000e+04 4.944594798873652941e+00 2.444901772504837822e+01
3.790000000000000000e+04 4.947357208441837351e+00 2.447634334792141075e+01
3.800000000000000000e+04 4.907892255693558248e+00 2.408740639349680634e+01
3.810000000000000000e+04 4.935020658392339499e+00 2.435442889875915640e+01
3.820000000000000000e+04 4.930287498778097799e+00 2.430773482060759605e+01
3.830000000000000000e+04 4.872558028191640744e+00 2.374182173809481000e+01
3.840000000000000000e+04 4.893622601726843158e+00 2.394754216813179681e+01
3.850000000000000000e+04 4.961915083802707294e+00 2.462060129886883075e+01
3.860000000000000000e+04 4.968601452565831522e+00 2.468700039443928773e+01
3.870000000000000000e+04 4.948220761223672604e+00 2.448488870180498012e+01
3.880000000000000000e+04 5.007994546601315378e+00 2.508000937878851033e+01
3.890000000000000000e+04 4.989793553807296611e+00 2.489803970961685309e+01
3.900000000000000000e+04 4.997640345935339568e+00 2.497640902732070245e+01
3.910000000000000000e+04 5.018119148750424863e+00 2.518151979105568827e+01
3.920000000000000000e+04 5.037151708423437846e+00 2.537289733367316202e+01
3.930000000000000000e+04 5.037104031526440373e+00 2.537241702441992075e+01
3.940000000000000000e+04 4.992348560723915973e+00 2.492354415176215099e+01
3.950000000000000000e+04 4.948811612116783998e+00 2.449073637222192446e+01
3.960000000000000000e+04 4.943757973525977789e+00 2.444074290080168055e+01
3.970000000000000000e+04 4.955210151183791822e+00 2.455410764239489296e+01
3.980000000000000000e+04 4.963737705167643455e+00 2.463869200570294637e+01
3.990000000000000000e+04 4.976384675680683323e+00 2.476440444034953714e+01
4.000000000000000000e+04 5.016035544923301615e+00 2.516061258793400057e+01
4.010000000000000000e+04 5.015790391258310166e+00 2.515815324903918793e+01
4.020000000000000000e+04 4.994510352890046079e+00 2.494513366512585151e+01
4.030000000000000000e+04 5.020317350148003399e+00 2.520358629619707003e+01
4.040000000000000000e+04 5.106675572952246611e+00 2.607813540738715474e+01
4.050000000000000000e+04 5.100595059576928492e+00 2.601606996178057329e+01
4.060000000000000000e+04 5.100455537200865308e+00 2.601464668696296911e+01
4.070000000000000000e+04 5.092875846667770823e+00 2.593738438957196735e+01
4.080000000000000000e+04 5.133822618437965168e+00 2.635613467758524919e+01
4.090000000000000000e+04 5.046828757457290315e+00 2.547048050709789280e+01
4.100000000000000000e+04 5.023202111262790481e+00 2.523255945059495886e+01
4.110000000000000000e+04 4.989284962188111905e+00 2.489296443391643265e+01
4.120000000000000000e+04 5.021522628297828916e+00 2.521568950650713603e+01
